key,ko,en
home_welcome,LIT 연구실 웹사이트에 오신 것을 환영합니다.,Welcome to the LIT Lab website.
about_intro,"정보전송연구실(LIT)은 통신 시스템의 전송 기술에 관한 이론적 분석과 실제적 설계를 함께 연구하며, 최근에는 인공지능·통신·센싱을 융합한 6세대(6G) 이동통신 핵심 기술에 집중하고 있습니다. 과학기술정보통신부 지정 대학ICT연구센터(ITRC)로서, 인공지능 기반 ISAC(통합 센싱·통신) 원천 기술 확보를 목표로 연구를 수행하고 있습니다.","The Laboratory for Information Transmission (LIT) studies both the theoretical analysis and practical design of transmission technologies for wireless communication systems, with a current focus on core 6G technologies integrating artificial intelligence, communication, and sensing. As a University ICT Research Center (ITRC) designated by the Ministry of Science and ICT, we aim to secure original AI-based ISAC technologies for 6G mobile communications."
