stamp,type,subject,body,sent
2026-08-21 19:17:12,news,[LIT] 새 소식이 게재되었습니다.,"새 소식이 게재되었습니다.

· 제목: 2026 ICT 챌린지 우승
권진만 박사과정, 황민영 박사과정, 박성민 석박통합과정이 ITRC에서 주관하는 2026 ICT 챌린지에서 우승하여 과기정통부 장관상을 시상하게 되었습니다. 축하드립니다!

링크: https://lit.kaist.ac.kr/news.html#n-20260821191709

— LIT @ KAIST",
2026-08-21 14:04:23,news,[LIT] 새 소식이 게재되었습니다.,"새 소식이 게재되었습니다.

· 제목: [부고] 최중섭 중령 부친상을 알려드립니다.
訃      告 

우리 연구실 출신 최중섭 중령의 부친 (故최종남 님)께서 소천하셨기에 삼가 알려드립니다. 삼가 고인의 명복을 빕니다.

빈소: 청도전문장례식장 VIP실
발인: 2026년 8월 22일 오전 10시 
장지: 밀양화장장 효천추모공원
마음 전하실 곳: 최중섭(농협은행 829-12-067930)

링크: https://lit.kaist.ac.kr/news.html#n-20260821140420

— LIT @ KAIST",2026-08-21 05:04:48Z
2026-08-10 14:53:27,news,[LIT] 새 소식이 게재되었습니다.,"새 소식이 게재되었습니다.

· 제목: 최중섭 선배님 공군 중령 진급을 축하드립니다.
우리 연구실 졸업생 최중섭 박사님께서 공군 중령으로 진급하셨습니다. 축하드립니다!

링크: https://lit.kaist.ac.kr/news.html#n-20260810145325

— LIT @ KAIST",2026-08-10 05:53:47Z
2026-08-10 10:22:42,journal,[LIT] 새 논문이 게재되었습니다.,"새 논문이 게재되었습니다.

· 제목: Unsupervised Context Adaptation With Attention for Estimating Threshold Voltage Distributions Under Process Variation
· 저자: I. Choi, M. Hwang, J. Jee, and H. Park
· 게재처: IEEE Access

링크: https://lit.kaist.ac.kr/journal.html

— LIT @ KAIST",2026-08-10 01:23:11Z
2026-08-05 16:04:39,news,[LIT] 새 소식이 게재되었습니다.,"새 소식이 게재되었습니다.

· 제목: 테스트
메일이 잘 보이시나요? 축하합니다

링크: https://lit.kaist.ac.kr/news.html#n-20260805160436

— LIT @ KAIST",2026-08-05 07:05:05Z
2026-08-05 15:38:29,news,[LIT] 새 소식이 게재되었습니다.,"새 소식이 게재되었습니다.

· 제목: 테스트
테스트 뉴스

링크: https://lit.kaist.ac.kr/news.html#n-20260805153826

— LIT @ KAIST",migrated
2026-08-05 12:27:26,news,[LIT] 새 소식이 게재되었습니다.,"새 소식이 게재되었습니다.

· 제목: 테스트
메일이 잘 날아갔다면, 두식 선배님의 모습을 볼 수 있습니다

링크: https://lit.kaist.ac.kr/news.html#n-20260805122723

— LIT @ KAIST",migrated
