pub_id,title,type,bibtex,author,editor,isbn,url,date,urldate,booktitle,issuetitle,journal,volume,number,pages,publisher,address,edition,chapter,institution,organization,school,series,crossref,abstract,howpublished,key,techtype,comment,note,image_url,doi,is_isbn,rel_page,status,added,modified,use_capabilites,import_id
1125,Cloud Radio Random-Access Networks With Multi-packet Reception Capability,article,Shin2024,"C. Shin, S. Park, J. Kim, H. Park",,,,2024-06-26,0000-00-00,,,IEEE Access,12,,89384 - 89393,,,,,,,,,,,,,,,,,10.1109/ACCESS.2024.3419081,1,0,published,2024-07-01 12:55:12,2024-11-21 14:59:53,,0
1122,Performance Assessment for LDM Transmission Based on DVB Satellite Standard,article,Kim2024,"P. Kim, H. Park",,,,2024-02-29,0000-00-00,,,IEEE Transactions on Broadcasting,70,2,382-390,,,,,,,,,,,,,,,,,10.1109/TBC.2024.3349789,1,0,published,2024-03-04 13:46:03,2024-06-11 13:25:03,,0
1121,Long-Term Throughput Maximization in Wireless Powered Communication Networks: A Multi-task DRL Approach,article,Ahmadian2024,"A. Ahmadian, W. Shin, H.Park",,2327-4662,,2024-02-26,0000-00-00,,,IEEE Internet of Things Journal,11,11,19616 - 19631,,,,,,,,,,"In this article, we study a wirelessly powered communication network (WPCN) composed of several wireless devices (WDs) which rely on an energy access point (EAP) for their supply of energy which is used to transfer data to a data access point (DAP). While the dominant focus of the literature in this area has been on frame-based data rate optimization, it has been known that this approach is greedy and only optimal in additive white Gaussian noise (AWGN) channels. Hence, in this work, we propose an online algorithm that, based on the current state of the batteries and channels, adaptively calculates the transmission time and power allocations to maximize the long-term performance of this system in fading channels. In order to accomplish such a goal, we employ the Twin delayed DDPG (TD3) approach, which is a deep reinforcement learning (DRL) technique designed for continuous state and action spaces. Additionally, we use the multitask learning (MTL) techniques to train a DRL agent that creates a composite policy capable of dynamically optimizing not just one specific WPCN configuration, but a continuum of WPCN problems, which we call a composite environment. Each of these environments has different parameters, such as WDs’ distances, to the DAP and EAP, batteries’ size, rectifying antenna (rectenna) energy harvesting (EH) model linearity, as well as different uplink (UL) and downlink (DL) channel specular components. Simulation results confirm that the TD3 algorithm can easily learn to achieve a much higher common throughput compared to the traditional optimization schemes.",,,,,,,10.1109/JIOT.2024.3370192,0,0,published,2024-02-14 17:18:21,2025-08-20 15:25:52,,0
1120,Channel Estimation and Pilot Reduction for mmWave Massive MIMO Systems Using Deep Neural Networks ,article,Tamiru2024," B. Tamiru, J. Jee, H. Park",,,,2024-02-09,0000-00-00,,,ICT Express,10,4,798-803,,,,,,,,,,"In this paper, we propose deep learning-based channel estimation and pilot reduction for mmWave point-to-point multi-input multi-output
systems. The proposed scheme consists of a two-step approach where the first step is applying a denoising autoencoder for channel estimation.
With the denoising characteristic of autoencoder, sparse channel estimation can be conducted although the orthogonality of pilot sequences
is not guaranteed due to shorter pilots. The second step is exploiting the temporal correlation of the channel, using the previous estimate to
extract information for the current estimate. Through simulation, the proposed scheme shows superior performance with reduced pilots.",,,,,,,https://doi.org/10.1016/j.icte.2024.02.003,1,0,published,2024-02-08 13:06:58,2025-08-20 15:23:49,,0
1118,Signal Model and Linear Combining Design for Multi-numerology Massive MIMO Systems,article,Son2024,"H. Son, G. Kwon, H. Park, J. Park, ",,,,2024-02-06,0000-00-00,,,IEEE Transactions on Vehicular Technology,73,6,8598-8614,,,,,,,,,,,,,,,,,10.1109/TVT.2024.3362330,1,0,published,2024-01-12 11:42:56,2024-06-21 12:49:32,,0
1112,Integrated Localization and Communication for Efficient Millimeter Wave Networks,article,Kwon2023,"G. Kwon, Z. Liu, A. Conti, H. Park, M. Win",,,,2023-11-29,0000-00-00,,,IEEE Journal on Selected Areas in Communications,,,3925 - 3941,,,,,,,,,,,,,,,,,10.1109/JSAC.2023.3322760,1,0,published,2023-09-08 13:11:43,2023-12-14 16:46:43,,0
1115,"Deep Learning-Based Joint Optimization of Closed-Loop FDD MmWave Massive MIMO: Pilot Adaptation, CSI Feedback, and Beamforming",article,Jee2023,"J. Jee, H. Park",,,,2023-10-24,0000-00-00,,,IEEE Transactions on Vehicular Technology,73,3,4019 - 4034,,,,,,,,,,,,,,,,,10.1109/TVT.2023.3327276,1,0,published,2023-10-06 12:09:22,2024-03-15 11:14:44,,0
1113,Outage Probability Analysis and Joint Optimization for UAV-Aided FSO/RF Systems With Nonlinear Power Amplifiers,article,Park2023,"H.S Park, J. Jee, H Park",,,,2023-10-02,0000-00-00,,,IEEE Photonics Journal,,7304913,,,,,,,,,,,,,,,,,,10.1109/JPHOT.2023.3321144,1,0,published,2023-10-04 11:15:10,2023-12-14 16:49:03,,0
1107,Cooperative Beamforming With Nonlinear Power Amplifiers: A Deep Learning Approach for Distributed Networks,article,Jee2022,"J. Jee, G. Kwon, H. Park",,,,2023-05-18,0000-00-00,,,IEEE Transactions on Vehicular Technology,72,5,5973-5988,,,,,,,,,,,,,,,,,10.1109/TVT.2022.3226799,1,0,published,2022-11-14 12:33:58,2023-09-01 16:21:22,,0
1106,Dynamic Error Recovery Flow Prediction Based on Reusable Machine Learning for Low Latency NAND Flash Memory Under Process Variation,article,Hwang2022bb,"M. Hwang, J.Jee, J.Kang, H.Park, S.Lee, J.Kim",,,,2022-11-07,0000-00-00,,,IEEE Access,10,,117715 - 117731,,,,,,,,,,,,,,,,,10.1109/ACCESS.2022.3220337,1,0,published,2022-11-08 16:03:28,2023-06-30 17:46:12,,0
