image,title,title_en,sub,sub_en
assets/img/hero1.jpg,정보전송연구실 (LIT),Laboratory for Information Transmission,KAIST 전기및전자공학부,"School of Electrical Engineering, KAIST"
assets/img/hero2.jpg,무선 통신 · 신호 처리 · AI 연구,Wireless Communications · Signal Processing · AI,6G를 향한 핵심 전송 기술,Core transmission technologies toward 6G
