date,year,title,content,status,thumbnail_file,image_files
2013-05-20 15:48:40,2013,2013 Homecoming Day,"단합대회 및 바베큐 파티[대덕중 운동장]
",publish,2013/05/DSC02278.jpg,2013/05/DSC02278.jpg|2013/05/DSC02217.jpg
2013-05-20 15:47:20,2013,2013 Homecoming Day,"교수님과의 만남의 시간[IT 융합 센터 (N1) 709호 세미나 실] 
'스승의 은혜' 제창 및 떡케이크 커팅식",publish,2013/05/DSC02212.jpg,2013/05/DSC02212.jpg|2013/05/DSC02203.jpg
2013-03-30 15:45:59,2013,2013 김재완 선배님 결혼식,"2013년 2월23일 김재완 선배님의 결혼식이 있었습니다. 
결혼을 진심으로 축하합니다",publish,2013/03/PGY_6181.jpg,2013/03/PGY_6181.jpg|2013/03/PGY_6148.jpg
2013-02-22 15:44:01,2013,2013 졸업식,"2013년 2월 22일 졸업식이 있었습니다 
졸업을 축하드립니다. 
",publish,2013/02/DSC02173.jpg,2013/02/DSC02173.jpg|2013/02/graduation1.jpg
2013-02-15 15:42:42,2013,2013 동계 워크샵,"2월 14일 ~ 15일 
단양으로 워크샵을 다녀왔습니다. 
좋은 추억이 될 시간이였습니다.",publish,2013/02/DSC02123.jpg,2013/02/DSC02123.jpg|2013/02/DSC01993.jpg
2013-01-09 15:41:37,2013,2013 박휘성 생일,생일을 축하합니다.,publish,2013/01/image.jpg,2013/01/image.jpg
2012-12-15 15:40:25,2012,2012 KAIST-KU Research Symposium,"박현철 교수님과 신철규 박사과정 학생이 2012년 12월 11일~12일 아랍에미리트(United Arab Emirates) 
아부다비(Abu Dhabi) Khalifa University에서 개최된 3rd KAIST-KU Research Symposium에 참석하여 
""계층간 상호작용을 고려한 고효율 에너지 클라우드 네트워크"" 주제로 발표를 하셨습니다. 

Professor Park and Mr. Shin attended 3rd KAIST-KU Research Symposium in Abu Dhabi, United Arab Emirates.",publish,2012/12/IMG_5633.jpg,2012/12/IMG_5633.jpg|2012/12/IMG_5625.jpg
2012-10-18 15:39:30,2012,2012 APCC,"신태동 석사과정학생이 2012년 10월15일 ~ 17일 제주도에서 열린 APCC 에서 발표를 하였습니다. 
",publish,2012/10/aIMG_20121016_100449.jpg,2012/10/aIMG_20121016_100449.jpg|2012/10/aIMG_20121016_083134.jpg
2012-09-28 15:38:29,2012,2012 PIMRC,"신철규, 김진우, 김기범 박사과정학생이 2012년 9월9일 ~ 12일 호주 시드니에서 열린 PIMRC 에서 발표를 하였습니다.",publish,2012/09/aDSC01503.jpg,2012/09/aDSC01503.jpg|2012/09/aIMG_5375.jpg
2012-09-28 15:37:31,2012,2012 PIMRC,"신철규, 김진우, 김기범 박사과정학생이 2012년 9월9일 ~ 12일 호주 시드니에서 열린 PIMRC 에서 발표를 하였습니다.
",publish,2012/09/aIMG_5422.jpg,2012/09/aIMG_5428.jpg|2012/09/aIMG_5422.jpg
2012-08-09 15:36:30,2012,2012 ITC-CSCC,"이종민 석사과정학생이 7월 15~18일   
일본 Sapporo Convention Center 에서 열린 
ITC-CSCC conference에서 발표를 하였습니다
",publish,2012/08/DSC01272.jpg,2012/08/DSC01272.jpg
